"filename", "language", "Go", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\customer_no.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\data_size.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\def_characteristic.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\default_value.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\default_value_numeric.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\dependent_characteristic.go", "Go", 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\deposit.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\discrete.go", "Go", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\display_identifier.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\dist_op_4.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\dist_op_5.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\dist_op_x.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\dist_op_y.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\dist_op_z.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\ecu.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\ecu_address.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\ecu_address_extension.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\ecu_calibration_offset.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\enums.go", "Go", 602, 0, 0, 0, 0, 0, 0, 84, 60, 746
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\epk.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\error_mask.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\extended_limits.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_axis_par.go", "Go", 63, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_axis_par_dist.go", "Go", 63, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_axis_par_list.go", "Go", 40, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_no_axis_pts_4.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_no_axis_pts_5.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_no_axis_pts_x.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\fix_no_axis_pts_y.go", "Go", 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
